sample_id,idtest_run,test_type,idtest_recipe,Test_Version,test_run_start_datetime,RunIndex,test_request_name,ElectricalTestTool,ElectricalTestChannel,is_discharge_only,ChargeCapacity,CapacityChargeFraction,dvdt,min_track_cycle_voltage,CycleIndex,CumulativeCycles,TestCycleStart_datetime,TestCycleStart_date,TestCycleStart_week,TestCycleEnd_datetime,TestCycleStart_datetime_first,TestCycleStart_week_first,TestCycleEnd_date,TestCycleEnd_week,track_cycle_count_cumulative,MiscTestAnomaly,ReliabilityCycles,CompletedCharge,CycleFailure,dvdt_failure,min_track_cycle_voltage_failure,CapacityChargeFraction_failure,AnyFailure,ChargeCapacity_failure,Experiment,Batch,WorkWeek,Group,ML Tier,center_normalized_0_5mm_eroded_rect_outside_median_us,Condition,Shorted
FCD006AB-PS00-01,189181912,E31,15936,R6_B0_TC_45C_8lap_V1,2/20/2025 4:26,48,JNL0212,SJ2-Maccor06,81,0,1277.6115,0.85700876,-5.229511,2.99207,4,83,2/20/2025 10:16,2/20/2025,Y2025-W08,2/20/2025 12:15,2/11/2025 20:19,Y2025-W07,2/20/2025,Y2025-W08,69,,69,,FALSE,0,0,0,FALSE,,FCD006,FCD006AB,Y2025-W07,FCD006,Tier 1,1.0065001249313354,Jetting (No Terminal Layer),FALSE
FCD006AB-PS00-02,189181914,E31,15936,R6_B0_TC_45C_8lap_V1,2/20/2025 4:27,48,JNL0212,SJ2-Maccor06,61,0,1279.0962,0.85837895,-5.32735,2.98291,4,83,2/20/2025 10:18,2/20/2025,Y2025-W08,2/20/2025 12:17,2/11/2025 20:19,Y2025-W07,2/20/2025,Y2025-W08,69,,69,,FALSE,0,0,0,FALSE,,FCD006,FCD006AB,Y2025-W07,FCD006,Tier 1,1.095689296722412,Jetting (No Terminal Layer),FALSE
FCD006AB-PS00-04,189181913,E31,15936,R6_B0_TC_45C_8lap_V1,2/20/2025 4:26,48,JNL0212,SJ2-Maccor22,57,0,1274.7219,0.85700774,-5.116095,3.01999,4,83,2/20/2025 10:15,2/20/2025,Y2025-W08,2/20/2025 12:14,2/11/2025 20:13,Y2025-W07,2/20/2025,Y2025-W08,69,,69,,FALSE,0,0,0,FALSE,,FCD006,FCD006AB,Y2025-W07,FCD006,Tier 1,1.0305335521697998,Jetting (No Terminal Layer),FALSE
FCD006AC-PS00-01,189182412,E31,15936,R6_B0_TC_45C_8lap_V1,2/20/2025 8:20,41,JNL0208,SJ2-Maccor23,5,0,1280.0858,0.85971224,-5.416309,2.86847,2,69,2/20/2025 10:13,2/20/2025,Y2025-W08,2/20/2025 12:14,2/12/2025 20:39,Y2025-W07,2/20/2025,Y2025-W08,57,,57,,FALSE,0,0,0,FALSE,,FCD006,FCD006AC,Y2025-W07,FCD006,Tier 1,1.086050510406494,Jetting (No Terminal Layer),FALSE
FCD006AC-PS00-03,189182338,E31,15936,R6_B0_TC_45C_8lap_V1,2/20/2025 7:56,41,JNL0208,SJ2-Maccor23,29,0,1268.5607,0.85006505,-4.9964738,2.88464,2,69,2/20/2025 9:48,2/20/2025,Y2025-W08,2/20/2025 11:49,2/12/2025 20:38,Y2025-W07,2/20/2025,Y2025-W08,57,,57,,FALSE,0,0,0,FALSE,,FCD006,FCD006AC,Y2025-W07,FCD006,Tier 1,1.0580213069915771,Jetting (No Terminal Layer),FALSE
FCD006AC-PS00-04,189182483,E31,15936,R6_B0_TC_45C_8lap_V1,2/20/2025 8:35,41,JNL0208,SJ2-Maccor23,41,0,1278.3167,0.85735524,-5.3299373,2.93988,2,69,2/20/2025 10:28,2/20/2025,Y2025-W08,2/20/2025 12:29,2/12/2025 20:31,Y2025-W07,2/20/2025,Y2025-W08,57,,57,,FALSE,0,0,0,FALSE,,FCD006,FCD006AC,Y2025-W07,FCD006,Tier 1,1.0727288722991943,Jetting (No Terminal Layer),FALSE
FCD006AC-PS00-05,189151117,E31,15936,R6_B0_TC_45C_8lap_V1,2/15/2025 17:17,14,JNL0208,SJ2-Maccor23,53,0,1330.5977,0.89370835,-27.97989,3.03563,4,17,2/15/2025 23:09,2/15/2025,Y2025-W07,2/16/2025 1:11,2/12/2025 20:35,Y2025-W07,2/16/2025,Y2025-W07,14,,14,,TRUE,1,0,0,TRUE,,FCD006,FCD006AC,Y2025-W07,FCD006,Tier 1,1.0811535120010376,Jetting (No Terminal Layer),TRUE
FCD006AC-PS00-06,189182669,E31,15936,R6_B0_TC_45C_8lap_V1,2/20/2025 9:01,41,JNL0208,SJ2-Maccor23,61,0,1316.4573,0.8823558,-4.803529,2.88144,2,70,2/20/2025 10:55,2/20/2025,Y2025-W08,2/20/2025 12:57,2/12/2025 20:38,Y2025-W07,2/20/2025,Y2025-W08,57,,58,,FALSE,0,0,0,FALSE,,FCD006,FCD006AC,Y2025-W07,FCD006,Tier 1,1.027787685394287,Jetting (No Terminal Layer),FALSE
FCD006AC-PS00-07,189182917,E31,15936,R6_B0_TC_45C_8lap_V1,2/20/2025 9:21,41,JNL0208,SJ2-Maccor23,69,0,1032.6254,0.69401526,-6.739406,2.61295,1,68,2/20/2025 9:21,2/20/2025,Y2025-W08,2/20/2025 11:15,2/12/2025 20:38,Y2025-W07,2/20/2025,Y2025-W08,56,,56,,FALSE,0,0,0,FALSE,,FCD006,FCD006AC,Y2025-W07,FCD006,Tier 1,1.0997593402862549,Jetting (No Terminal Layer),FALSE
FCD006AC-PS00-08,189182348,E31,15936,R6_B0_TC_45C_8lap_V1,2/20/2025 8:02,41,JNL0208,SJ2-Maccor23,77,0,1270.7666,0.8517317,-4.725499,2.85985,2,69,2/20/2025 9:54,2/20/2025,Y2025-W08,2/20/2025 11:55,2/12/2025 20:38,Y2025-W07,2/20/2025,Y2025-W08,57,,57,,FALSE,0,0,0,FALSE,,FCD006,FCD006AC,Y2025-W07,FCD006,Tier 1,1.0451778173446655,Jetting (No Terminal Layer),FALSE
